,,,,,,
,325,Brook Lopez,"82,536",,,
,326,Jason Preston,"81,771",,,
,327,Aaron Nesmith,"81,460",,,
,328,Chris Chiozza,"78,950",,,
,329,Mark Williams,"78,575",,,
,330,Herb Jones,"77,813",,,
,331,Omer Yurtseven,"76,485",,,
,332,Ty Jerome,"76,376",,,
,333,Bruno Fernando,"76,303",,,
,334,De'Anthony Melton,"76,293",,,
,335,Miles McBride,"75,904",,,
,336,Jakob Poeltl,"73,670",,,
,337,Corey Kispert,"73,092",,,
,338,Trendon Watford,"72,778",,,
,339,Walker Kessler,"72,166",,,
,340,Aaron Holiday,"71,588",,,
,341,Jericho Sims,"70,810",,,
,342,Devon Dotson,"70,576",,,
,343,Daniel Gafford,"70,228",,,
,344,Shake Milton,"69,619",,,
,345,Johnny Davis,"68,818",,,
,346,Ignas Brazdeikis,"68,236",,,
,347,DeAndre' Bembry,"68,102",,,
,348,Dewayne Dedmon,"67,273",,,
,349,Richaun Holmes,"66,243",,,
,350,Keegan Murray,"66,171",,,
,351,Malachi Flynn,"65,114",,,
,352,Paul Reed Jr.,"64,777",,,
,353,Aleksej Pokusevski,"64,130",,,
,354,Patrick Baldwin Jr.,"63,081",,,
,355,Collin Gillespie,"62,861",,,
,356,Devin Vassell,"62,835",,,
,357,Daishen Nix,"62,769",,,
,358,Terence Davis,"62,688",,,
,359,Markus Howard,"62,295",,,
,360,Day'Ron Sharpe,"61,968",,,
,361,Jahmi'us Ramsey,"61,558",,,
,362,Saddiq Bey,"61,523",,,
,363,Xavier Tillman Sr.,"60,339",,,
,364,Theo Maledon,"59,870",,,
,365,Garrett Temple,"59,853",,,
,366,Jaylen Nowell,"59,754",,,
,367,Jared Butler,"59,374",,,
,368,Tari Eason,"58,228",,,
,369,Sandro Mamukelashvili,"57,297",,,
,370,Joshua Primo,"56,141",,,
,371,Keon Johnson,"55,618",,,
,372,Louis King,"55,122",,,
,373,Lamar Stevens,"54,736",,,
,374,Chris Smith,"54,611",,,
,375,Jock Landale,"53,095",,,
,376,Javonte Smart,"52,236",,,
,377,David Duke,"51,784",,,
,378,OShae Brissett,"51,757",,,
,379,JaMychal Green,"51,693",,,
,380,Alex Len,"51,549",,,
,381,Jalen Smith,"51,230",,,
,382,Cody Martin,"50,699",,,
,383,Isaiah Livers,"50,528",,,
,384,Tony Snell,"50,314",,,
,385,Udoka Azubuike,"50,302",,,
,386,Kira Lewis Jr.,"49,381",,,
,387,Peyton Watson,"48,708",,,
,388,Charles Bassey,"48,463",,,
,389,Isaiah Joe,"47,376",,,
,390,Yves Pons,"46,480",,,
,391,Jake Layman,"46,242",,,
,392,Goga Bitadze,"45,812",,,
,393,Malaki Branham,"45,068",,,
,394,Duane Washington Jr.,"44,912",,,
,395,Ish Smith,"44,720",,,
,396,Ousmane Dieng,"44,131",,,
,397,Matthew Hurt,"43,971",,,
,398,Isaiah Mobley,"43,559",,,
,399,Anthony Tolliver,"41,134",,,
,400,Damyean Dotson,"40,884",,,
,401,Cody Zeller,"40,819",,,
,402,Chuma Okeke,"39,983",,,
,403,Bryce McGowens,"38,893",,,
,404,Keita Bates-Diop,"38,656",,,
,405,Isaiah Roby,"38,432",,,
,406,Tyrell Terry,"37,456",,,
,407,Jeremiah Robinson-Earl,"36,532",,,
,408,KZ Okpala,"36,246",,,
,409,Chimezie Metu,"35,358",,,
,410,Zeke Nnaji,"35,232",,,
,411,Luka Samanic,"33,624",,,
,412,Aaron Wiggins,"33,446",,,
,413,J.T. Thor,"32,317",,,
,414,McKinley Wright,"31,704",,,
,415,Santi Aldama,"31,300",,,
,416,Chaundee Brown Jr.,"31,100",,,
,417,Sam Hauser,"31,032",,,
,418,David Roddy,"30,093",,,
,419,Jordan McLaughlin,"28,921",,,
,420,Vlatko Cancar,"28,612",,,
,421,Dylan Windler,"27,912",,,
,422,Sterling Brown,"27,228",,,
,423,Jalen McDaniels,"26,297",,,
,424,Mfiondu Kabengele,"25,948",,,
,425,David Johnson,"25,918",,,
,426,Jay Huff,"25,725",,,
,427,Amir Coffey,"25,349",,,
,428,Killian Tillie,"24,255",,,
,429,Joel Ayayi,"24,053",,,
,430,Elijah Hughes,"23,504",,,
,431,Justin Lewis,"22,989",,,
,432,Justin Champagnie,"22,662",,,
,433,Aaron Henry,"21,973",,,
,434,Jake LaRavia,"21,712",,,
,435,Naji Marshall,"21,521",,,
,436,Kessler Edwards,"19,203",,,
,437,R.J. Nembhard,"17,931",,,
,438,Sam Merrill,"15,832",,,
,439,Kelan Martin,"15,537",,,
,440,C.J. Elleby,"14,628",,,
,441,Marko Simonovic,"14,330",,,
,442,Keon Ellis,"13,623",,,
,443,Alondes Williams,"13,514",,,
,444,Xavier Sneed,"13,116",,,
,445,Robert Woodard II,"13,055",,,
,446,Nate Hinton,"11,730",,,
,447,Eugene Omoruyi,"11,637",,,
,448,Julian Champagnie,"11,600",,,
,449,Arnoldas Kulboka,"10,981",,,
,450,Terry Taylor,"8,876",,,
,451,Javon Freeman-Liberty,"7,479",,,
,452,Jordan Schakel,"5,040",,,
